Contributor,Country,Deposited (USD million current),Fund focus,Fund,Pledged (USD million current)
Belgium,Belgium,7.86,Adaptation,Adaptation for Smallholder Agriculture Programme (ASAP),8.58
Canada,Canada,19.88,Adaptation,Adaptation for Smallholder Agriculture Programme (ASAP),20.35
Finland,Finland,6.83,Adaptation,Adaptation for Smallholder Agriculture Programme (ASAP),7.15
Flanders,Belgium,2.38,Adaptation,Adaptation for Smallholder Agriculture Programme (ASAP),2.38
"Korea, Rep.","Korea, Rep.",3,Adaptation,Adaptation for Smallholder Agriculture Programme (ASAP),3
Netherlands,Netherlands,48.58,Adaptation,Adaptation for Smallholder Agriculture Programme (ASAP),57.23
Norway,Norway,17.75,Adaptation,Adaptation for Smallholder Agriculture Programme (ASAP),21.32
Sweden,Sweden,9.93,Adaptation,Adaptation for Smallholder Agriculture Programme (ASAP),10.64
Switzerland,Switzerland,10.95,Adaptation,Adaptation for Smallholder Agriculture Programme (ASAP),11.84
Denmark,Denmark,0.05,Multiple Foci,Indonesia Climate Change Trust Fund (ICCTF),0.05
Austria,Austria,0.69,Adaptation,Adaptation Fund (AF),0.69
Belgium,Belgium,1.65,Adaptation,Adaptation Fund (AF),1.65
Belgium (Brussels Capital Region),Belgium,5.6,Adaptation,Adaptation Fund (AF),5.6
Belgium (Flanders),Belgium,7.81,Adaptation,Adaptation Fund (AF),7.81
Belgium (Wallonia Regions),Belgium,9.76,Adaptation,Adaptation Fund (AF),9.76
Corporacion Andina de Fomento (CAF),Regional,0.06,Adaptation,Adaptation Fund (AF),0.06
Finland,Finland,6.8,Adaptation,Adaptation Fund (AF),6.8
France,France,5.56,Adaptation,Adaptation Fund (AF),5.56
Germany,Germany,283.13,Adaptation,Adaptation Fund (AF),283.13
Investment Income,Investment Income,18.05,Adaptation,Adaptation Fund (AF),18.05
Ireland,Ireland,0.36,Adaptation,Adaptation Fund (AF),0.36
Italy,Italy,16.38,Adaptation,Adaptation Fund (AF),16.38
Japan,Japan,0.01,Adaptation,Adaptation Fund (AF),0.01
Luxembourg,Luxembourg,2.11,Adaptation,Adaptation Fund (AF),2.11
Monaco,Monaco,0.01,Adaptation,Adaptation Fund (AF),0.01
Norway,Norway,2.44,Adaptation,Adaptation Fund (AF),2.44
Others,Others,0,Adaptation,Adaptation Fund (AF),0
