Country,Longitude,Latitude
Afghanistan,67.58450436,34.94098469
Albania,20.10925138,41.09708418
Algeria,1.780595463,29.22807761
American Samoa,-170.707613,-14.30707991
Andorra,1.563245209,42.52996445
Angola,17.42233321,-10.83500226
Anguilla,-63.05356534,18.22495906
Antarctica,-28.13601863,-72.51211588
Antigua,-61.76171939,17.0729572
Argentina,-65.45939025,-37.65934036
Armenia,45.23304247,40.21092062
Aruba,-69.96773605,12.50722637
Ascension Island,-14.36744057,-7.937650897
Australia,136.9985434,-25.18299682
Austria,13.47336569,47.5797319
Azerbaijan,46.85409565,40.1969167
Azores,-27.51854731,38.32315172
Bahamas,-76.09284575,24.21109436
Bahrain,50.54970668,26.05096186
Bangladesh,90.50611804,23.50905166
Barbados,-59.54626762,13.16099728
Barbuda,-61.80336838,17.6447216
Belarus,28.11758542,53.53241178
Belgium,4.73210363,50.59062728
Belize,-88.46050086,17.4219472
Benin,2.359138492,9.734187973
Bermuda,-64.76533985,32.30740881
Bhutan,90.58430771,27.4026598
Bolivia,-65.12439571,-16.55725037
Bonaire,-68.28508377,12.18007813
Bosnia and Herzegovina,18.13478914,44.06762442
Botswana,24.58467561,-22.52343706
Brazil,-55.28056799,-9.80237464
Brunei,114.7803373,4.5481698
Bulgaria,24.96409571,42.62485704
Burkina Faso,-1.593556802,11.99825128
Burundi,29.99624265,-3.054105315
Cambodia,105.1177878,12.59715426
Cameroon,13.01387305,6.260679265
Canada,-89.7561759,65.2931221
Canary Islands,-15.86041971,28.35580272
Cape Verde,-23.90404438,16.04142329
Cayman Islands,-80.43169975,19.57615429
Central African Republic,20.08077592,6.401339035
Chad,18.97807943,12.79039883
Chagos Archipelago,72.44874797,-7.321449981
Chile,-72.31060275,-44.84064492
China,106.8475748,35.08243544
Christmas Island,105.6658435,-10.48662111
Cocos Islands,96.87384356,-12.17445913
Colombia,-72.76286862,3.471104794
Comoros,43.85905685,-12.00284326
Cook Islands,-159.7851022,-21.22557727
Costa Rica,-84.03993753,9.756016839
Croatia,16.34878586,44.64204021
Cuba,-79.32908448,21.75576353
Curacao,-68.9649025,12.2090723
Cyprus,33.35030769,35.06383926
Czech Republic,15.42377681,49.88403902
Democratic Republic of the Congo,23.71013679,-4.524942191
