"Country","CO2 Emitted (in tons)","Pollution Death Rate (% per 100,000)","Project Funds (USD Million)","Code"
"Afghanistan",178502924.77,0.071,0,"AFG"
"Albania",277278189.22,0.017,0,"ALB"
"Algeria",4107869896.13,0.015,0,"DZA"
"Andorra",13717377.28,0.006,0,"AND"
"Angola",623762311,0.046,0,"AGO"
"Antigua and Barbuda",21756717.08,0.012,0,"ATG"
"Argentina",7977373398.24,0.011,0,"ARG"
"Armenia",273731871.65,0.025,0,"ARM"
"Australia",17360810554.86,0.005,517.07,"AUS"
"Austria",5303713347.16,0.007,87.14,"AUT"
"Azerbaijan",2471780321.52,0.029,0,"AZE"
"Bahamas",157456745.3,0.011,0,"BHS"
"Bahrain",826530053.77,0.029,0,"BHR"
"Bangladesh",1361147179.94,0.04,0.05,"BGD"
"Barbados",51506565.02,0.012,0,"BRB"
"Belarus",4058119852.1,0.02,0,"BLR"
"Belgium",12257548524.29,0.008,354.95,"BEL"
"Belize",17162217.12,0.017,0,"BLZ"
"Benin",98792203.59,0.04,0,"BEN"
"Bermuda",27146704.26,0.008,0,"BMU"
"Bhutan",13762669.88,0.032,0,"BTN"
"Bolivia",461310418.1,0.025,0,"BOL"
"Bosnia and Herzegovina",839470358.07,0.02,0,"BIH"
"Botswana",131552447.39,0.023,0,"BWA"
"Brazil",14190905219.76,0.014,12.9,"BRA"
"Brunei",335970645.04,0.009,0,"BRN"
"Bulgaria",3703285888.57,0.02,0.1,"BGR"
"Burkina Faso",50218080.94,0.044,0,"BFA"
"Burundi",10728249.8,0.054,0,"BDI"
"Cambodia",105225246.98,0.046,0,"KHM"
"Cameroon",194766283.6,0.042,0,"CMR"
"Canada",31913521876.4,0.005,889.65,"CAN"
"Cape Verde",11572647.4,0.018,0,"CPV"
"Central African Republic",11448062.13,0.063,0,"CAF"
"Chad",14410060.55,0.05,0,"TCD"
"Chile",2657499285.1,0.01,0.3,"CHL"
"China",200136494086.1,0.034,15.07,"CHN"
"Colombia",3110040938.78,0.011,6,"COL"
"Comoros",4221082.02,0.038,0,"COM"
"Congo",70573384.4,0.045,0,"COG"
"Costa Rica",231692588.72,0.008,0,"CRI"
"Cote d'Ivoire",303413162.84,0.042,0,"CIV"
"Croatia",981746998.44,0.014,0,"HRV"
"Cuba",1656996984.29,0.012,0,"CUB"
"Cyprus",270926136.57,0.011,1.85,"CYP"
"Czech Republic",8321584468.18,0.013,11.62,"CZE"
"Democratic Republic of Congo",191683278.72,0.047,0,"COD"
"Denmark",3991753370.45,0.008,263.8,"DNK"
"Djibouti",19174274.46,0.032,0,"DJI"
"Dominica",3921840.48,0.013,0,"DMA"
"Dominican Republic",666238637.93,0.011,0,"DOM"
"Ecuador",1100685365.05,0.01,0,"ECU"
"Egypt",5561231355.77,0.034,0,"EGY"
"El Salvador",213279980.32,0.016,0,"SLV"
"Equatorial Guinea",92146727.45,0.041,0,"GNQ"
"Eritrea",16336482.58,0.052,0,"ERI"
"Estonia",1147762305.99,0.01,2.2,"EST"
"Ethiopia",207190474.39,0.039,0,"ETH"
"Fiji",45160830.03,0.035,0,"FJI"
"Finland",3065528408.32,0.005,272.36,"FIN"
"France",37768075471.6,0.005,1612.36,"FRA"
"Gabon",245703654.03,0.027,0,"GAB"
"Gambia",12030970.74,0.042,0,"GMB"
"Georgia",593121175.85,0.024,0,"GEO"
"Germany",90565630028.3,0.008,3464.01,"DEU"
"Ghana",316321491.28,0.035,0,"GHA"
"Greece",3884493460.24,0.009,8.8,"GRC"
"Greenland",30246492.84,0.014,0,"GRL"
"Grenada",7332340.49,0.017,0,"GRD"
"Guatemala",404420204.69,0.029,0,"GTM"
"Guinea",77269714.08,0.051,0,"GIN"
"Guinea-Bissau",9228085.54,0.057,0,"GNB"
"Guyana",89660737.5,0.022,0,"GUY"
"Haiti",69042835.51,0.044,0,"HTI"
"Honduras",229623078.08,0.019,0,"HND"
"Hungary",4870991389.84,0.016,5.64,"HUN"
"Iceland",141492955.56,0.005,1.98,"ISL"
"India",48557863280.5,0.046,10.49,"IND"
"Indonesia",12430271015.7,0.024,5.45,"IDN"
"Iran",16585684216.5,0.015,0,"IRN"
"Iraq",3984084086.86,0.026,0,"IRQ"
"Ireland",2112667063.74,0.008,72.46,"IRL"
"Israel",2221239489.27,0.009,0,"ISR"
